,0,1,2,3,4,5,6,7,8,9
148,Mia has had her scan and she doesn't need a surgery,Mia has also problems with her liver due to the pills she has been using,Mia will speak to Jane later,Jane is going to support Jen,,,,,,
149,Martha left a rude note for Rufus so he talked to her face to face about it,,,,,,,,,
150,Chris is on the corner of Station and Church St,Chris has been looking for the place for the last 20 minutes and couldn't reach Jim over the phone,Jim gives Chris directions about how to get to the place,Jim will open the gate for Chris in 5 minutes,Jim has to lock up the dogs first,There's little room in the garage to park,,,,
151,Mary and Tom need some suggestions for bigger summer holidays with children and Amanda,Jeff recommends Mauritius instead of Maldives as it's not that expensive and nice for children,Jeff suggests flying with British Airways even though he always flies with Air France,they've heard it's good,,,,,,
153,Matt is working for an event organizing association,where he's in charge of social media,where Matt is not getting paid,Some of Matt colleagues can be unprofessional at times,Matt and Alex will meet on Saturday at Alex's place,Their tweets are badly written,,,,
307,especially Twitter,Nancy asks Vic and Phil about various social media,which prompts them to discuss and compare the different platforms,Phil is not into Instagram but likes Twitter,Vic prefers Facebook over Twitter and likes Instagram,Phil and Vic both don't use Tumblr,,,,
154,Andy and Jane both liked the new film by Quentin Tarantino,Jane is going out on a date and Andy will come over shortly to help her choose what to wear,,,,,,,,
156,Pete and Kate have anniversary,Pete,Mark and John decided to buy tickets to a concert for their girlfriends so that they will have a night out together,,,,,,,
157,Marshall can't afford RDR2,Lucas is hyped with the game,Marshall wants to play it too,,,,,,,
158,Mike brought Dora a doll which Laura no longer needs,The doll was made by Aitra,who passed away,Laura knows that Dora and Aitra were friends,and wants Dora to have the doll as a remembrance of Dora's late friend,,,,,
159,Riley went to the pharmacy to get medicine for Mr,Cooper has a headache,The pharmacist finds something that should help Mr,Cooper,,,,,,
205,Cooper,Cooper is working on proposal,He will come over to Cooper's place at 5pm,,,,,,,
160,Matilde and Marco decorated their house by themselves,and Agnes is impressed,Agnes wants Matilde to give her some tips as Agnes is about to buy an apartment,Matilde advises her,,,,,,
161,The hairdresser Susan is unavailable,so Pam will look for other hairdresser recommendations online to do her hair for Joe and Sue's wedding this weekend,,,,,,,,
162,Rachel and Matt want to get off work earlier today and visit Rachel's parents,Matt is planning to give Rachel's dad his old computer,They'll eat in Casa Italia,Matt will make a reservation,Rachel checked their menu,,,,,
323,Rachel feels like Italian food,Raymond can't decide whether he wants pizza or pasta,He invites Charlotte over for a dinner at 15,,,,,,,
178,They'll meet at 4,Mayweather beat McGregor in a boxing match,,,,,,,,
163,Penny got herself macrame cords as birthday gift,She will make macrame for Andy and his mum,Penny's new job is going well,Andy has almost finished his thesis,,,,,,
164,Vitor had 3 exams this week,His grades from France were recognized by his university and some of them are good enough that he won't have to repeat the subjects,Joe has spent the week working on his dissertation,Joe is getting ready to go out,,,,,,
274,one didn't go well,Jesse,Melvin,Lee and Maxine are going to take part in the Christmas charity action of the foundation called Refuge,which helps women and children who escape from abuse,,,,,
334,so he may be able to finish in one year,Stewart and Shari find the current president ignorant and incompetent,They hope he gets voted out,Stewart is going to see what possibilities there are of volunteering in the upcoming elections,,,,,,
165,Janette dislikes having to read their tweets as part of her job,Janette would not like to change her job,,,,,,,,
166,Mell had some problems with formatting the bibliography for her article,Jacky has helped her solve all of them,,,,,,,,
170,Georgia and Juliette are looking for a hotel in Lisbon,Juliette dislikes Georgia's choices,Juliette and Georgia decide on the second option presented by Georgia,Finally Georgia books the third hotel,,,,,,
180,but it has already been booked,Sandra has booked a riding lesson for 20£ an hour on Friday,Olivia will join her at 5:30 and the lesson starts at 6,,,,,,,
171,Madison is pregnant but she doesn't want to talk about it,Patricia Stevens got married and she thought she was pregnant,,,,,,,,
172,Marla found a pair of boxers under her bed,Marlo,,,,,,,,
174,Amanda goes to dancing classes with Michael,She volunteered to show the English Waltz steps with the instructor yesterday,Amanda is shy and goes to therapy,She's pregnant,,,,,,
175,Theo's going to stay near Torino in the region of Italian Alpes,Toby wants to join the trip,Theo agrees and will pick Toby up on Friday at 7 am,,,,,,,
176,Marta is grocery shopping for dinner,She and Nick will make lasagne,,,,,,,,
177,Aubray wants to watch Bollywood movie with Kate tomorrow,Kate doesn't like this type of movie,she agrees to join Aubray,,,,,,,
201,In the end,Ricky will have his first surgery tomorrow,He was surprised that doctor called him and offered a surgery date so soon as in the hospital he was told to wait until 2026,He will have his knee done in Burlington,She's in Pietermaritzburg,,,,,
179,Roseanne wanted to go out for a beer with Kyle and Vince,and leave her kids with Megan,Megan will clean the house and give Roseanne's kids her famous chocolate cookies if they help,what made Roseanne change her mind,died yesterday,,,,,
181,Shantelle left the coffee cups in the kitchen and as a remedy will bring biscuits and make a round of drinks in the office tomorrow,,,,,,,,,
182,Erica is having trouble with calculus,Erica will start a study group instead,but didn't tell Ross about it,,,,,,,
210,She doesn't want to ask Paul for help,Evelina tried to FaceTime Paul but Paul has a stomach ache and had to go to see a doctor,The doctor prescribed him some herbal medicine that is difficult to find,If that does not help his indigestion then he has to do an ultrasound,Evelina suggests him to go to a pharmacy by a gas station,,,,,
221,Nick is injured so he can't play football at the moment,Nick doesn't have any Halloween plans,He explains to Chris that we go to cementary and spend time with our families for November 1st,Chris changed his name for Arthur for the party yesterday,,,,,,
184,It happened when he was riding a bike with a friend,Laura thinks it's funny,,,,,,,,
186,"Josh was at the concert in the ""Devil's den"" club",He saved a cat on the street last week,,,,,,,,
187,Jen and Rick are on holiday just outside Shanghai,,,,,,,,,
189,Amanda's iPhone is no longer charging,She tried with her sister's charger,It might be the cable or the charging port,She'll get a cheap replacement cable to check it,,,,,,
190,Howard wants to take Jane out for a romantic dinner,Jane is a trans woman and has a penis,Howard doesn't like it,,,,,,,
252,Allan's car broke down this morning,but Allan has got only half of it,Frank has got only 20 to pay,He wants Allan to get as much as he can for it,,,,,,
192,Michelle and Alex organized their holiday,They will spend two weeks in Croatia,Alex will book the trip,Michelle will exchange the money,,,,,,
194,Lizzy with the help of Sia is picking up make up for the night out with Marco and his friends,,,,,,,,,
195,Iris's still in town for 2 days,She's planning to buy the Nina Ricci pink apple for Flo,a small coffee machine for mum,a Brook saddle for her brother in law,a small travel clock for Ted and a cap for FR,Diana will bring foie gras and oysters,,,,
291,She has venaison and smoke salmon planned for meals,Hannah's New Year's resolutions are: work out,Brooklyn didn't make any,,,,,,,
196,Miranda,Danny and Doro will go to London to visit Ella,Ella cannot organize them hotels for their stay so Danny found an apartment for 1500 PLN on airb&b,,,,,,,
265,It's probably the fault of Charlotte Briggs,when Jill finishes work,She stayed longer to stretch,Doris' sister had a heart attack on Tuesday and is recovering in hospital after having 2 stents fitted,she walked a 21 km marathon on Sunday,Doris may stay with her and help once she's back home,,,,
199,Isiah can't go to the game tomorrow because Melanie is sick and Rachel has two other kids to take care of,Antonio doesn't want to go to the game alone,He's going to ask Karl to use Isiah's ticket,,,,,,,
301,He will be home about 7 or 8,Rob and Bob are watching the game,Bob will run some errands on the weekend,Jim's birthday is next Wednesday,He might organize a meetup this weekend,Bob will see Rob on the weekend,,,,
202,Jim has one more semester at school and he is filling out a job application,Mary misses him and she will be in town for some Christmas shopping,,,,,,,,
204,Margaret is going to teach her classes tomorrow according to schedule,Margaret prefers that students write her messages on her e-mail address instead of Facebook,Margaret hasn't read the whole 2nd chapter of  Alice's thesis yet,The teacher sent them the presentation subjects via e-mail,They are going to meet near the university and go somewhere else instead,,,,,
206,Nadya has a headache because her neighbours' cleaner is being loud,Sean will have breakfast after he does yoga,,,,,,,,
207,Esther is at the concert with her flatmate,Bennett will drive 1000km tomorrow,He has a comfortable car,,,,,,,
208,Heather informs Jason that Harold's website offers a 50% discount for all the stock,Jason can finally buy tennis shoes and something for his mom,Heather already has 3 shirts on the cart and wants some jeans,,,,,,,
209,Mila's studying food and nutrition at UBC,Jason will be in Vancouver in February,,,,,,,,
211,He sends Masher to pick Joe up at 7,Simon is going to buy groceries (yogurts,,,,,,,,
212,Emily will book a table at Angelo's,Patrick will buy presents for Rebecca's birthday,,,,,,,,
292,Julia,But Hillary thinks she does it to death and lacks real life,They will try to keep a diet,,,,,,,
214,Charlie passed the CLO exam and reveals to Kobe that it was possible because he had the Internet access and the person supervising didn't react on Charlie's cheating,Henrique helped Charlie as well,,,,,,,,
224,5 in Crete,4 in Athens,and a drive to Thessaloniki,Marion enjoyed her holidays in Greece,Marion wants to go back there next year and Robert will go with her,,,,,
342,Mari had a visit from her sister with the twins and they were misbehaving,The weather is awful,They will get a lunch this week on Friday,Gloria and Mell plan to have a barbeque at Mell's place on Saturday,because Tad's sister moved to Scotland,Mell needs Gloria's advice on garden design,,,,
216,Mari's mother will take Ethan to the nursery tomorrow,Dave will stand up to his boss who has been a bully,,,,,,,,
217,Tim will pick up Chris at 3,Chris will help Tim with a new sofa,they'll go for a beer to the new pub near the university,,,,,,,
237,30 today,April wants Archibald to join her for a bike ride tomorrow,He is taking his father to a family friend's funeral and will only by available after 1 pm,April will meet him then at their usual meeting spot,,,,,,
219,Ramsay recommends to Julie the following Christmas movies: Home Alone,National Lampoon's Christmas Vacation,Nightmare Before Christmas,the Santa Clause films with Tim Allen as Santa,Rudolph the Red Nosed Reindeer,,,,,
222,which makes Gina and June unhappy,Gina wants to call in sick and stay at home with Netflix,whereas June is already at work,Gina tried taking pills to get rid of the winter depression,but it didn't work so she waits till March comes,,,,,
223,Juan is going to travel to Brazil,working as a mechanic in a car factory,Now Juan needs to rush to the airport,,,,,,,
352,his flight is at 3,Michael is returning from trip to Argentina,Michael doesn't like his job,he thinks of quitting it and leaving London,Kai's been very busy recently,She has a conference on 8th of December,,,,
227,Ryan forgot to submit a programming project before the due date,Ryan's teacher demands he deliver the project now,Isaac sends Ryan a game he developed last semester,,,,,,,
228,Ed has just woken up,Liam is awake and needs to get to school earlier for band practice,Ed didn't know that,Ed is leaving town for work that week and might not make it to the concert,Ed and Jill consider eating out,The concert starts at 7:30 and they will meet outside at 7,,,,
229,Peter and Jen are coming to Warsaw for the weekend to buy some things for the new apartment,They will stay at Alex's place and have a party,Jen and Peter like their new apartment but their neighbours complain about them making too much noise,They'll come on Saturday,,,,,,
233,Mack will speak to the landlord next week,Hakim wants to go to the Italian restaurant with Mack,,,,,,,,
234,Alexandra is too busy to visit her relatives during Christmas,She may come at Easter and will definitely come in the summer,Joanna misses Alexandra,,,,,,,
277,She has a lot of work,Mark told his sister that Mary is doing an online job,Mark's sister is contacting people to confirm it,Mark thinks she's jealous,Mary hates Mark's sister,,,,,
235,Bob and Alice discuss the panel which will take place tomorrow,Bob asks Alice's advice on what to talk about,Jimmy and Alex consider dividing the class into groups by gender,,,,,,,
236,Karson is making spaghetti for dinner,Finley wants to meet but this won't happen soon,,,,,,,,
238,Jody hates ironing,She irons them because last time he did it,he burnt her favourite shirt and two of his own,Lynn suggests buying an ironing machine,Jody will visit her tomorrow around 2:00 to see how it works,,,,,
294,especially her husband's shirts,Sam sent her Tom's photo,Sam wants to buy a custom dress as a surprise for his wife,It should be black and elegant,His product number is 898998 and he will place the order on the company's website,,,,,
269,He knows how to play hockey and skate too,Jane is in Warsaw,Ollie and Jane has a party,Jane lost her calendar,Ollie accidentally called Jane and talked about whisky,Jane cancels lunch,,,,
240,Olivia went on a date,He invited Olivia to the cinema again,,,,,,,,
241,goat cheese and the Italian smoked sausage) and a shampoo for Nora,Nora nad Simon are seeing each other tonight,,,,,,,,
242,Peter and Dorothy have to be there at 7,but when Peter arrives he wants to take a shower and eat something,,,,,,,,
243,Will has had his garden done up and has put a temporary pool there,Will is satisfied with the work Jack has done in his garden,Damian's parents want similar work done in their garden,Will passes Jack's contact information to Damian at his request,,,,,,
244,Wanda's uni is going pretty well,She studies in Leeds,She's going to visit Helena next Thursday,Helena is considering becoming a history teacher,,,,,,
245,Lisha's computer appears to be broken,Rasha will check if the electronics shop in her area can help,Rasha will lend Lisha her computer,Lisha needs it to finish her report on aboriginals,,,,,,
246,Nigel and Hannah are going to the bookstore in Kastanienallee after Nigel has brunch with Tristan and Hannah has her hair done,,,,,,,,,
247,Joshua found a possum in his backyard,,,,,,,,,
251,Brian will call the plumber to come and fix the broken pipe today by 8 pm,Jess is going on a date and she needs to shower before or reschedule,,,,,,,,
253,Luisa has had no luck selling her house yet,It took Leu 2 year to sell his apartment,Bill has a drinking problem,Luisa has stopped trying to help Bill,but he's not going because of his grandma's health problems,,,,,
254,Steve will order the second display,He needs to make sure he can connect his card to it,,,,,,,,
255,Sarah was at a yoga class today,The new instructor's exercises were easy for Sarah,Nina and Sarah will go to yoga together on Mondays at 6 PM and on Thursdays at 7,water and a towel for her first class,Sarah will get her time off from Monday to Wednesday,,,,,
258,Max and his friends watched the video about cannabis,Allen believes that long term use has no consequences according to the research,Jeremy explains it wasn't long term use but rather an occasional use,Mark reckons they don't affect the lungs,Virginia thinks MJ users won't believe anything bad,S,,,,
259,Dylan went to a barbershop for the first time,The barber tidied Dylan's facial hair,Natalie hates Ian's unibrow,Dylan won't talk to him about it,,,,,,
350,brows and nose hair,Violet will make an appointment at a waxing salon,,,,,,,,
260,Yanick and Sindey were talking after a history class,Yanick invited Sindey for a beer on Friday,,,,,,,,
285,Count of Monte Chris to,Chris and Tom are planning a meeting at Chris' place,Chris has a Jacuzzi in his garden,Chris has WiFi and can bring his TV outside,Tom has a low internet limit whenever he's outside of Ireland,,,,,
262,Tim accompanied John with looking for the apartment the other day,but the rent was too high,Following Alan's advice,John will negotiate the rent with flat owner,who was supposed to stay in their London flat for 5 years,,,,,
263,Alex has just received Rich's letter,They will meet at the Indian place on Main Street at 1 pm tomorrow to discuss a few points,,,,,,,,
264,Dorothy wants to date Tom from Sam's English literature,She also met him,,,,,,,,
267,Carla's date for graduation is on June 4th,Diego will try to come then,,,,,,,,
268,Greg cheated on Julia,He apologises to her,Robert tells Julia not to meet Greg,,,,,,,
270,Payton provides Max with websites selling clothes,Payton likes browsing and trying on the clothes but not necessarily buying them,Payton usually buys clothes and books as he loves reading,,,,,,,
271,Clara is rewatching Dear White People and strongly recommends it to Neela,,,,,,,,,
272,Beth wants to organize a girls weekend to celebrate her mother's 40th birthday,She also wants to work at Deidre's beauty salon,Deidre offers her a few hours on Saturdays as work experience,,,,,,,
273,Kelly is scared of sculpture garden figures in Finnland,she finds figure's faces morbid,For Ollie it's Nagoro village in Japan,it's creepy,,,,,,
275,Sebastian is very happy with his life,and shares this happiness with Kevin,,,,,,,,
276,Todays results show that Matt and Oliver got into Stanford University,,,,,,,,,
280,Kim needs to get some fresh fish in Warsaw,Kim will ask at restaurants about their source,Kim is planning something special but won't share any details with Margot for now,cook for herself,,,,,,
282,Ann doesn't know what she should give to her dad as a birthday gift,Fiona tries to help her and suggests a paintball match,,,,,,,,
284,Joanne is going to go back home to France for the holidays,She's going to cheer her mum up because her parents separated a few months ago,Evelyn offers Joanne to spend Christmas together if she brings her mum over here,,,,,,,
286,Maxwell pays Jeanice for 8 hours of babysitting and is grateful he found her,His son argued with a friend at school,and got agressive when the teacher reacted,Jeanice hasn't noticed if he has acted strangely recently,Maxwell and Jeanice can grab a coffe some time to discuss all the issues,,,,,
287,Leah met a creepy guy last night at a poetry reading,He knew she speaks German and named all the friends who went to a past event with her,She didn't tell him any of this,He googled her before,Leah had liked a post mentioning him 2 weeks earlier,,,,,
289,Poppy is not going to be home tonight but she won't reveal the reason to Dean,She won't be making dinner so Dean has to get something on his way home,,,,,,,,
290,Harris' friend,Aoki,Harris hasn't seen her for a few months,,,,,,,
295,Linda got a new job and is moving to Ohio for 6 months,Her brother will stay at her current apartment,Daisy will come by Linda's place to meet her and help her pack as she is too busy to go out,,,,,,,
296,Sonia is going to San Sebastian in a month,Toni enjoyed her the airbnb place there,Sonia isn't convinced about it and will let Toni know,,,,,,,
297,Malik and Samanta want to lose weight,keto or paleo,and go for runs together,,,,,,,
298,Sophia apologizes to Mason,She sends him a kiss photo on his request,,,,,,,,
299,Rory wants Mitch to take Bill and Sammy and they'll chip in for gas,Mitch will be leaving Sunday,Bill will arrive around 10 am Sunday and Joanna will be picking him,Mitch will meet Bill after,,,,,,
302,Miro speaks Albanian with his parents,His family left Albania illegally in 1990s,,,,,,,,
304,Sharol forgot about her sociology assignment,She needs to research feminist act,Kate has already finished it,and she rushes Sharol,,,,,,
309,and it's due tomorrow,Del accused Stanley of having an affair,because he couldn't go with her this weekend due to his work,They've only been together for 4 months,Now Bill and Stanley need to take care of the Lidem project,Division of tasks is on Stanley,because Alison is unreachable,,,
306,Nestor wanted to buy a laptop on Black Friday sales,but Olaf advise against it,as the prices in reality are not reduced,Nestor will check it if Olaf helps him to get a good deal from a guy he knows,,,,,,
308,Kelly wandered around and met some people from school,They almost didn't talk and he was with someone,,,,,,,,
310,Catherine applied for an accounting position at Pandora,Jake has been working there for 5 years,This job offers a clear career path and benefits,Jake got promoted twice with salary increase,Catherine will have an interview on Monday,,,,,
311,Ahmed wants Sharon to move in with him but she's afraid of her parents' reaction,Ahmed is angry,,,,,,,,
312,Gary is a driver for Uber and he really enjoys it,,,,,,,,,
313,Anastasia sent her new school photos to Darrell,,,,,,,,,
315,Ben won't go with Catherine to visit uncle Steve,He will visit her and the boys,,,,,,,,
318,James and Mia want to go to an art exhibition tomorrow,James wants Amelia to go with them but Mia isn't sure about it,James and Mia will go to his place afterwards,,,,,,,
319,Brett's cousin met his wife while playing a game together,Andrew's favorite game is the Final Fantasy,Brett and John haven't heard about it,,,,,,,
320,Rael finds the atmosphere at her workplace to be unbearable,Many people switch their career paths and move to the IT sector,Rael only needs good analytical skills and an on-line course to start work in IT,,,,,,,
322,Sarah paid 500 quid to go back home for Passover,Sarah is going to the desert with the whole family,Lia went to Negev last year,Passover is both Lia and Sarah's favorite holiday,Lia will talk to her mum about the tickets,Sarah is flying on the 28th,,,,
325,Reeve has no plans for the winter break,Booker is going to ski in Italy,Dodson and Trish are thinking of going to the seaside somewhere near for 3/4 nights,,,,,,,
326,Pat is interested in baseball and hockey,he doesn't know much about basketball anymore,,,,,,,,
328,Lorenzo took keys from airbnb and went to the room,He's waiting for Will and Amanda,,,,,,,,
329,Mary and Patricia are flying to Japan in a week,Patricia is scared of long flight,earth-quakes and tsunamis,James is comforting her,,,,,,
331,Kaylin has set her alarm for tomorrow,,,,,,,,,
332,Johny wants to go for a gig with Lucy,She prefers to go with Maggie and her best friends,The gig starts at 8 PM,,,,,,,
337,Zandra's daughter,The party starts at Tricia's place,so Erwin will deliver a birthday cake by bike,Zandra is taking care of the decorations,Tricia of the food and a company of the outside attractions,,,,,
338,Ross wants to do karaoke,Chandler wants to record it for fun,,,,,,,,
340,Rosemary and Victoria would like to record the drums this weekend,Rosemary doesn't have a working laptop,whereas Victoria's tablet doesn't have enough memory for recording,Rosemary will try to borrow a laptop from somebody and will get back to Victoria later,,,,,,
343,Matt and Tony want to go to the concert of Bon Jovi next July in Poland and are planning to buy the tickets that cost 250 PLN before they’re sold out,Phil will think about it and let them know,,,,,,,,
344,Anna got an awful stomachache at night but she doesn't know its cause,Her mom Joanna will make her hot tea with some fresh mint leaves,,,,,,,,
345,Karen got stuck on the road from the swimming pool to Waitrose so wants Peter to avoid it,Peter is not leaving until 6 as he he has to finish his presentation,Karen will see Peter in a bit,,,,,,,
346,Tina has to learn Demi's approach how to transfer from hating men to dating them,,,,,,,,,
347,Betty's house has mould due to condensation,Andy will send her a quote for the work needed by Friday,,,,,,,,
348,Aaron will give two lectures during the conference about relations at school at the Sesame Street,Claire will participate in mindfulness workshop,,,,,,,,
349,Daisy is in Naples,Charlie recalls their meeting and wants to see her again,He will come to Florence to see Daisy between 1-5 September,,,,,,,
351,Bart didn't do well this semester because he didn't study much,He played a lot fo StarCraft,,,,,,,,
353,Alejandro and Luz are going to meet in 2 weeks for the first time,Luz knows Alejandro very well already,Luz will be there on the 20th of December at 4PM,Alejandro will pick her up,,,,,,
355,"Josie finds Eco's novel ""Foucault's Pendulum"" nerdy",Josie would like to read Eco in Italian,Stefano considers Eco's two novels and finds them difficult,"Josie has read an unfavorable review of ""Foucault's Pendulum"" by Salman Rushdie",,,,,,
356,Bobby's most annoyed by pharmaceutical companies,He believes they invent diseases to make money,He discovered that one company is selling mints as medicine for an illness that doesn't exist,,,,,,,
357,Perry,Marlow,Janet and Forster discuss their holiday plans,Marlow would like to go to Asia,,,,,,
358,The client manager suited up,He has a presentation for a client,Lee pre-ordered the digital RoS CE and got extra in-game content: Wings and a Demon Hunter for Heroes of the Storm,,,,,,,
359,Rachel has a new siamese cat,a girl called Portia,Rachel discovered that is allergic to cats,She is sneezing,Adam consoles Rachel,,,,,
360,Mick's never done any student exchange before,but Amka did,Mick had a plan to go to London for Halloween,Amka will stay in as well,Mick tells Amka about Halloween in Poland,,,,,
361,Monica had sex with Ross at an office party two months ago,who's married,,,,,,,,
